Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]
P51579	P2RX6_RAT	reviewed	P2X purinoceptor 6 (P2X6) (ATP receptor) (P2XM) (Purinergic receptor) (Purinergic receptor P2X-like 1)	P2rx6 P2rxl1	Rattus norvegicus (Rat)	389	TRANSMEM 42 62 Helical; Name=1. {ECO:0000255}.; TRANSMEM 336 356 Helical; Name=2. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q9EPH2	MRP_RAT	reviewed	MARCKS-related protein (Brain protein F52) (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS)	Marcksl1 Mlp	Rattus norvegicus (Rat)	199		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P28667}. Cell membrane {ECO:0000250|UniProtKB:P28667}; Lipid-anchor {ECO:0000250|UniProtKB:P28667}. Note=Associates with the membrane via the insertion of the N-terminal N-myristoyl chain and the partial insertion of the effector domain. Association of the effector domain with membranes may be regulated by Ca(2+)/calmodulin. Colocalizes with F-actin at the leading edge of migrating cells. {ECO:0000250|UniProtKB:P28667, ECO:0000250|UniProtKB:P49006}.
Q63379	MYCN_RAT	reviewed	N-myc proto-oncogene protein	Mycn Nmyc Nmyc1	Rattus norvegicus (Rat)	462		SUBCELLULAR LOCATION: Nucleus.
Q9QXT3	NAT8_RAT	reviewed	N-acetyltransferase 8 (EC 2.3.1.-) (Acetyltransferase 2) (ATase2) (Camello-like protein 4) (Cysteinyl-conjugate N-acetyltransferase) (CCNAT) (EC 2.3.1.80)	Nat8 Cml4	Rattus norvegicus (Rat)	222	TRANSMEM 36 56 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
P08461	ODP2_RAT	reviewed	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	Dlat	Rattus norvegicus (Rat)	632		SUBCELLULAR LOCATION: Mitochondrion matrix.
Q6IN01	PPR3B_RAT	reviewed	Protein phosphatase 1 regulatory subunit 3B (33 kDa glycogen-binding protein) (Hepatic glycogen-targeting protein phosphatase 1 regulatory subunit GL) (Protein phosphatase 1 regulatory subunit 4) (PP1 subunit R4) (Protein phosphatase 1 subunit GL)	Ppp1r3b Ppp1r4	Rattus norvegicus (Rat)	284		
G3V7L5	PO4F2_RAT	reviewed	POU domain, class 4, transcription factor 2 (Brain-specific homeobox/POU domain protein 3B) (Brain-3B) (Brn-3B) (Brn-3.2)	Pou4f2 Brn3b	Rattus norvegicus (Rat)	412		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18368538}. Nucleus speckle {ECO:0000250|UniProtKB:Q12837}. Cytoplasm {ECO:0000250|UniProtKB:Q63934}.
Q7TQ94	NIT1_RAT	reviewed	Deaminated glutathione amidase (dGSH amidase) (EC 3.5.1.128) (Nitrilase homolog 1)	Nit1 rCG_20134	Rattus norvegicus (Rat)	327		SUBCELLULAR LOCATION: Isoform 1: Mitochondrion {ECO:0000250|UniProtKB:Q8VDK1}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm {ECO:0000250|UniProtKB:Q8VDK1}.
Q63604	NTRK2_RAT	reviewed	BDNF/NT-3 growth factors receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Trk-B)	Ntrk2 Trkb	Rattus norvegicus (Rat)	821	TRANSMEM 430 453 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1645620}; Single-pass type I membrane protein {ECO:0000269|PubMed:1645620}. Endosome membrane {ECO:0000250|UniProtKB:P15209}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P15209}. Early endosome membrane {ECO:0000250|UniProtKB:P15209}. Cell projection, Neuron projection, axon {ECO:0000269|PubMed:21775604}. Cell projection, Neuron projection, dendrite {ECO:0000269|PubMed:21775604}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:21775604}. Cell junction, synapse, Postsynapse, postsynaptic density {ECO:0000250|UniProtKB:P15209}. Note=Internalized to endosomes upon ligand-binding. {ECO:0000250|UniProtKB:P15209}.
P55068	PGCB_RAT	reviewed	Brevican core protein (Brain-enriched hyaluronan-binding protein) (BEHAB)	Bcan Behab	Rattus norvegicus (Rat)	883		SUBCELLULAR LOCATION: Isoform 1: Secreted, extracellular space, extracellular matrix.; SUBCELLULAR LOCATION: Isoform 2: Membrane; Lipid-anchor, GPI-anchor.
Q642A0	PDRG1_RAT	reviewed	p53 and DNA damage-regulated protein 1	Pdrg1	Rattus norvegicus (Rat)	133		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Q6DGG0	PPID_RAT	reviewed	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Rotamase D)	Ppid	Rattus norvegicus (Rat)	370		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q08752}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q08752}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q08752}.
Q8R415	PKR2_RAT	reviewed	Prokineticin receptor 2 (PK-R2) (G-protein coupled receptor 73-like 1) (G-protein coupled receptor I5E)	Prokr2 Gpr73l1 Pkr2	Rattus norvegicus (Rat)	383	TRANSMEM 55 75 Helical; Name=1. {ECO:0000255}.; TRANSMEM 90 110 Helical; Name=2. {ECO:0000255}.; TRANSMEM 137 157 Helical; Name=3. {ECO:0000255}.; TRANSMEM 171 191 Helical; Name=4. {ECO:0000255}.; TRANSMEM 223 243 Helical; Name=5. {ECO:0000255}.; TRANSMEM 273 293 Helical; Name=6. {ECO:0000255}.; TRANSMEM 313 333 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8NFJ6}; Multi-pass membrane protein.
Q6P6T5	OCLN_RAT	reviewed	Occludin	Ocln	Rattus norvegicus (Rat)	523	TRANSMEM 67 87 Helical. {ECO:0000255}.; TRANSMEM 141 161 Helical. {ECO:0000255}.; TRANSMEM 174 194 Helical. {ECO:0000255}.; TRANSMEM 245 265 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q16625}; Multi-pass membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q16625}.
Q8K4P2	NPB_RAT	reviewed	Neuropeptide B (Preproprotein L7) (rPPL7) [Cleaved into: Neuropeptide B-29 (NPB29) (L7C)]	Npb	Rattus norvegicus (Rat)	119		SUBCELLULAR LOCATION: Secreted.
Q68AX7	REG4_RAT	reviewed	Regenerating islet-derived protein 4 (REG-4)	Reg4	Rattus norvegicus (Rat)	157		SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q5XIL0	RN167_RAT	reviewed	E3 ubiquitin-protein ligase RNF167 (EC 2.3.2.27) (RING finger protein 167) (RING-type E3 ubiquitin transferase RNF167)	Rnf167	Rattus norvegicus (Rat)	349	TRANSMEM 174 194 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Targeted to cytoplasmic membranes. {ECO:0000250}.
O88846	RNF4_RAT	reviewed	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4) (Small nuclear ring finger protein) (Protein SNURF)	Rnf4 Snurf	Rattus norvegicus (Rat)	194		SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Nucleus, PML body. Nucleus, nucleoplasm.
P86410	RLGPB_RAT	reviewed	Ral GTPase-activating protein subunit beta (p170)	Ralgapb	Rattus norvegicus (Rat)	1484		
O54748	STK3_RAT	reviewed	Serine/threonine-protein kinase 3 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 2) (MST-2) (STE20-like kinase MST2) [Cleaved into: Serine/threonine-protein kinase 3 36kDa subunit (MST2/N); Serine/threonine-protein kinase 3 20kDa subunit (MST2/C)]	Stk3 Mst2	Rattus norvegicus (Rat)	491		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=The caspase-cleaved form cycles between nucleus and cytoplasm. Phosphorylation at Thr-117 leads to inhibition of nuclear translocation (By similarity). {ECO:0000250}.
Q5U303	TAB2_RAT	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TGF-beta-activated kinase 1-binding protein 2)	Tab2 Map3k7ip2	Rattus norvegicus (Rat)	693		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=Cytoplasmic when activated. Following IL1 stimulation, localized in the to cytosol (By similarity). {ECO:0000250}.
Q9WTQ6	TRIB3_RAT	reviewed	Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase)	Trib3 Nipk	Rattus norvegicus (Rat)	349		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P19332	TAU_RAT	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	Mapt Mtapt Tau	Rattus norvegicus (Rat)	752		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P10636}. Cell membrane {ECO:0000250|UniProtKB:P10636}; Peripheral membrane protein {ECO:0000250|UniProtKB:P10636}; Cytoplasmic side {ECO:0000250|UniProtKB:P10636}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P10636}. Cell projection, Neuron projection, axon {ECO:0000250|UniProtKB:P10636}. Cell projection, Neuron projection, dendrite {ECO:0000250|UniProtKB:P10636}. Note=Mostly found in the axons of neurons, in the cytosol and in association with plasma membrane components. {ECO:0000250|UniProtKB:P10636}.
Q68FS7	TM183_RAT	reviewed	Transmembrane protein 183	Tmem183	Rattus norvegicus (Rat)	376	TRANSMEM 300 320 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q5M877	SPSB2_RAT	reviewed	SPRY domain-containing SOCS box protein 2 (SSB-2)	Spsb2 Ssb2	Rattus norvegicus (Rat)	264		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q99619}. Note=Exhibits a diffuse cytosolic localization. {ECO:0000250|UniProtKB:Q99619}.
Q642C0	DNJC8_RAT	reviewed	DnaJ homolog subfamily C member 8	Dnajc8	Rattus norvegicus (Rat)	253		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O75937}.
Q68FU3	ETFB_RAT	reviewed	Electron transfer flavoprotein subunit beta (Beta-ETF)	Etfb	Rattus norvegicus (Rat)	255		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:7334008}.
Q4QR87	DMRTC_RAT	reviewed	Doublesex- and mab-3-related transcription factor C1	Dmrtc1	Rattus norvegicus (Rat)	225		
D3ZUK3	DLK2_RAT	reviewed	Protein delta homolog 2 (DLK-2) (Endothelial cell-specific protein S-1) (Epidermal growth factor-like protein 9) (EGF-like protein 9)	Dlk2 Egfl9	Rattus norvegicus (Rat)	382	TRANSMEM 306 326 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q01460	DIAC_RAT	reviewed	Di-N-acetylchitobiase (EC 3.2.1.-)	Ctbs Ctb	Rattus norvegicus (Rat)	367		SUBCELLULAR LOCATION: Lysosome.
P97879	GRIP1_RAT	reviewed	Glutamate receptor-interacting protein 1 (GRIP-1) (AMPA receptor-interacting protein GRIP1)	Grip1	Rattus norvegicus (Rat)	1112		SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000269|PubMed:10436050}. Perikaryon {ECO:0000269|PubMed:10436050}. Cell projection, Neuron projection, dendrite {ECO:0000269|PubMed:10436050}. Cytoplasm {ECO:0000269|PubMed:10436050}. Endomembrane system; Peripheral membrane protein. Cell junction, synapse, Postsynapse, postsynaptic cell membrane {ECO:0000269|PubMed:10436050}. Cell junction, synapse, Postsynapse, postsynaptic density {ECO:0000269|PubMed:10436050, ECO:0000269|PubMed:15226318}. Endoplasmic reticulum membrane {ECO:0000305|PubMed:10436050}; Peripheral membrane protein {ECO:0000305}. Note=Membrane-associated with vesicles, peri-Golgi complexes and endoplasmic reticulum. Enriched in postsynaptic plasma membrane and postsynaptic densities. {ECO:0000269|PubMed:10436050}.
Q0V8T3	CTP5D_RAT	reviewed	Contactin-associated protein like 5-4 (Cell recognition molecule Caspr5-4) (Cell recognition molecule Caspr5d) (Contactin-associated protein-like 5d)	Cntnap5d Caspr5-4	Rattus norvegicus (Rat)	1305	TRANSMEM 1238 1258 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q6MG59	G6B_RAT	reviewed	Megakaryocyte and platelet inhibitory receptor G6b (Protein G6b)	Mpig6b G6b	Rattus norvegicus (Rat)	232	TRANSMEM 141 161 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O95866}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:O95866}.
Q03238	GRAM_RAT	reviewed	Granzyme M (EC 3.4.21.-) (Met-ase) (Natural killer cell granular protease) (RNK-Met-1) (Fragment)	Gzmm	Rattus norvegicus (Rat)	258		SUBCELLULAR LOCATION: Secreted. Cytoplasmic granule. Note=Granules of large granular lymphocytes.
D4AC13	LGR5_RAT	reviewed	Leucine-rich repeat-containing G-protein coupled receptor 5	Lgr5	Rattus norvegicus (Rat)	907	TRANSMEM 562 582 Helical; Name=1. {ECO:0000255}.; TRANSMEM 596 616 Helical; Name=2. {ECO:0000255}.; TRANSMEM 639 659 Helical; Name=3. {ECO:0000255}.; TRANSMEM 683 703 Helical; Name=4. {ECO:0000255}.; TRANSMEM 724 744 Helical; Name=5. {ECO:0000255}.; TRANSMEM 776 796 Helical; Name=6. {ECO:0000255}.; TRANSMEM 803 823 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Rapidly and constitutively internalized to the trans-Golgi network at steady state. {ECO:0000250}.
Q6LED0	H31_RAT	reviewed	Histone H3.1		Rattus norvegicus (Rat)	136		SUBCELLULAR LOCATION: Nucleus. Chromosome.
Q5FWS6	KAZRN_RAT	reviewed	Kazrin	Kazn Kaz	Rattus norvegicus (Rat)	780		SUBCELLULAR LOCATION: Cell junction {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}.
Q6P6Q9	MICU1_RAT	reviewed	Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)	Micu1 Cbara1	Rattus norvegicus (Rat)	477	TRANSMEM 34 52 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9BPX6}; Single-pass membrane protein {ECO:0000255}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q9BPX6}. Note=The topology is subject to debate. {ECO:0000250|UniProtKB:Q9BPX6}.
P17105	IP3KA_RAT	reviewed	Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5-trisphosphate 3-kinase A) (IP3 3-kinase A) (IP3K A) (InsP 3-kinase A)	Itpka	Rattus norvegicus (Rat)	459		
Q924I2	M4K3_RAT	reviewed	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	Map4k3	Rattus norvegicus (Rat)	873		
B1H268	MCMBP_RAT	reviewed	Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein)	Mcmbp	Rattus norvegicus (Rat)	642		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Associates with chromatin. Highly associated with chromatin in G1/S and S phases, reduced binding to chromatin in G2, and further decreased binding in early M phase. It then reassociates with chromatin in late M phase. Dissociates from chromatin later than component of the MCM complex (By similarity). {ECO:0000250}.
P11275	KCC2A_RAT	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Camk2a	Rattus norvegicus (Rat)	478		SUBCELLULAR LOCATION: Cell junction, synapse {ECO:0000269|PubMed:15659234}. Cell junction, synapse, Postsynapse, postsynaptic density {ECO:0000269|PubMed:15659234}. Cell projection, Neuron projection, dendritic spine {ECO:0000250|UniProtKB:Q9UQM7}. Cell projection, Neuron projection, dendrite {ECO:0000250|UniProtKB:Q9UQM7}. Note=Postsynaptic lipid rafts. {ECO:0000269|PubMed:15659234}.
P12007	IVD_RAT	reviewed	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4)	Ivd	Rattus norvegicus (Rat)	424		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:6401713}.
Q62912	MAD3_RAT	reviewed	Max dimerization protein 3 (Max dimerizer 3) (Max-associated protein 3) (Max-interacting transcriptional repressor MAD3) (Myx)	Mxd3 Mad3	Rattus norvegicus (Rat)	206		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981}.
Q9QZA1	PHLA1_RAT	reviewed	Pleckstrin homology-like domain family A member 1 (Proline- and glutamine-rich protein) (PQ-rich protein) (PQR protein)	Phlda1 Pqr	Rattus norvegicus (Rat)	407		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8WV24}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q8WV24}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q8WV24}. Note=Colocalizes with intracellular vesicles. {ECO:0000250|UniProtKB:Q8WV24}.
Q6AY23	P5CR2_RAT	reviewed	Pyrroline-5-carboxylate reductase 2 (P5C reductase 2) (P5CR 2) (EC 1.5.1.2)	Pycr2	Rattus norvegicus (Rat)	320		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q96C36}. Mitochondrion {ECO:0000250|UniProtKB:Q96C36}.
Q4FZU3	NSRP1_RAT	reviewed	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70)	Nsrp1 Ccdc55 Nsrp70	Rattus norvegicus (Rat)	547		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus speckle {ECO:0000250}. Note=Colocalizes with splicing factors SRSF1 and SRSF2 in speckles. {ECO:0000250}.
P25031	REG3B_RAT	reviewed	Regenerating islet-derived protein 3-beta (REG-3-beta) (Pancreatitis-associated protein 1) (Peptide 23) (REG-2) (Regenerating islet-derived protein III-beta) (Reg III-beta) [Cleaved into: Regenerating islet-derived protein 3-beta 16.5 kDa form; Regenerating islet-derived protein 3-beta 15 kDa form]	Reg3b Pap Pap1 Reg2	Rattus norvegicus (Rat)	175		SUBCELLULAR LOCATION: Secreted. Note=Found in the apical region of pancreatic acinar cells.
Q5XI59	RNF10_RAT	reviewed	RING finger protein 10	Rnf10	Rattus norvegicus (Rat)	802		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8N5U6}. Nucleus {ECO:0000269|PubMed:18941509}.
P41499	PTN11_RAT	reviewed	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2)	Ptpn11	Rattus norvegicus (Rat)	597		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q8VD89	RNS1G_RAT	reviewed	Ribonuclease pancreatic gamma-type (EC 4.6.1.18) (RNase 1 gamma)		Rattus norvegicus (Rat)	152		SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q6PDW6	RM17_RAT	reviewed	39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17)	Mrpl17	Rattus norvegicus (Rat)	176		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9NRX2}.
Q498T4	RM02_RAT	reviewed	39S ribosomal protein L2, mitochondrial (L2mt) (MRP-L2)	Mrpl2	Rattus norvegicus (Rat)	304		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q5T653}.
Q4KLN8	RNF8_RAT	reviewed	E3 ubiquitin-protein ligase RNF8 (EC 2.3.2.27) (RING finger protein 8) (RING-type E3 ubiquitin transferase RNF8)	Rnf8	Rattus norvegicus (Rat)	487		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|HAMAP-Rule:MF_03067}. Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03067}. Midbody {ECO:0000255|HAMAP-Rule:MF_03067}. Chromosome, telomere {ECO:0000255|HAMAP-Rule:MF_03067}. Note=Recruited at uncapped telomeres. Following DNA double-strand breaks, recruited to the sites of damage. During prophase, concomitant with nuclear envelope breakdown, localizes throughout the cell, with a dotted pattern. In telophase, again in the nucleus and also with a discrete dotted pattern in the cytoplasm. In late telophase and during cytokinesis, localizes in the midbody of the tubulin bridge joining the daughter cells. Does not seem to be associated with condensed chromosomes at any time during the cell cycle. During spermatogenesis, sequestered in the cytoplasm by PIWIL1: RNF8 is released following ubiquitination and degradation of PIWIL1. {ECO:0000255|HAMAP-Rule:MF_03067}.
Q9JLS3	TAOK2_RAT	reviewed	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Thousand and one amino acid protein 2)	Taok2 Tao2	Rattus norvegicus (Rat)	1235	TRANSMEM 967 987 Helical. {ECO:0000255}.; TRANSMEM 989 1009 Helical. {ECO:0000255}.; TRANSMEM 1014 1034 Helical. {ECO:0000255}.; TRANSMEM 1040 1060 Helical. {ECO:0000255}.; TRANSMEM 1170 1190 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Found to be perinuclear and localized to vesicular compartment. {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 2: Cell projection, Neuron projection, dendrite. Note=In dendrites, colocalizes with PCDH8.
Q91ZF1	KCJ15_RAT	reviewed	ATP-sensitive inward rectifier potassium channel 15 (Inward rectifier K(+) channel Kir4.2) (Potassium channel, inwardly rectifying subfamily J member 15)	Kcnj15	Rattus norvegicus (Rat)	405	TRANSMEM 94 118 Helical; Name=M1. {ECO:0000250}.; TRANSMEM 172 193 Helical; Name=M2. {ECO:0000250}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
A1A5P9	MAGE1_RAT	reviewed	Melanoma-associated antigen E1 (Alpha-dystrobrevin-associated MAGE Protein) (DAMAGE) (MAGE-E1 antigen)	Magee1	Rattus norvegicus (Rat)	933		SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250}. Nucleus {ECO:0000250}. Cell membrane {ECO:0000250}. Note=In the skeletal muscle, found at the postsynaptic membrane and is associated with a subset of myonuclei. May reside within nuclei and/or in perinuclear compartments. In peripheral nerves, colocalizes with DTNA in the Schwann cell membrane (By similarity). {ECO:0000250}.
Q8K3X8	HSBP1_RAT	reviewed	Heat shock factor-binding protein 1	Hsbp1	Rattus norvegicus (Rat)	76		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q2M1K5	PED1B_RAT	reviewed	PC-esterase domain-containing protein 1B (Protein FAM113B)	Pced1b Fam113b	Rattus norvegicus (Rat)	432		
Q7TP40	PCNP_RAT	reviewed	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein) (Liver regeneration-related protein LRRG084)	Pcnp Ab2-416	Rattus norvegicus (Rat)	189		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q80Z30	PPM1E_RAT	reviewed	Protein phosphatase 1E (EC 3.1.3.16) (Ca(2+)/calmodulin-dependent protein kinase phosphatase N) (CaMKP-N) (CaMKP-nucleus) (CaMKN) (Partner of PIX 1) (Partner of PIX-alpha) (Partner of PIXA)	Ppm1e Camkn	Rattus norvegicus (Rat)	750		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11726284, ECO:0000269|PubMed:16269004}. Cytoplasm {ECO:0000269|PubMed:12807427, ECO:0000269|PubMed:16269004}. Note=A truncated form, major form, with the C-terminal part missing, is mostly found in the cytoplasm and a little in the nucleus throughout the central nervous system. Although in some large neurons, the full-length, minor form, is found in the nucleus. {ECO:0000269|PubMed:16269004}.
P38652	PGM1_RAT	reviewed	Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	Pgm1	Rattus norvegicus (Rat)	562		SUBCELLULAR LOCATION: Cytoplasm.
P24053	NMBR_RAT	reviewed	Neuromedin-B receptor (NMB-R) (Neuromedin-B-preferring bombesin receptor)	Nmbr	Rattus norvegicus (Rat)	390	TRANSMEM 42 65 Helical; Name=1. {ECO:0000255}.; TRANSMEM 80 99 Helical; Name=2. {ECO:0000255}.; TRANSMEM 118 139 Helical; Name=3. {ECO:0000255}.; TRANSMEM 157 177 Helical; Name=4. {ECO:0000255}.; TRANSMEM 212 235 Helical; Name=5. {ECO:0000255}.; TRANSMEM 267 287 Helical; Name=6. {ECO:0000255}.; TRANSMEM 300 327 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9EQX6	PDGFC_RAT	reviewed	Platelet-derived growth factor C (PDGF-C) (Fallotein) (Spinal cord-derived growth factor) (rScdfg) (VEGF-E) [Cleaved into: Platelet-derived growth factor C, latent form (PDGFC latent form); Platelet-derived growth factor C, receptor-binding form (PDGFC receptor-binding form)]	Pdgfc Scdgf	Rattus norvegicus (Rat)	345		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9NRA1}. Secreted {ECO:0000250|UniProtKB:Q9NRA1}. Nucleus {ECO:0000250|UniProtKB:Q9NRA1}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9NRA1}. Cell membrane {ECO:0000250|UniProtKB:Q9NRA1}. Note=Sumoylated form is predominant in the nucleus. Stored in alpha granules in platelets. {ECO:0000250|UniProtKB:Q9NRA1}.
