Accession,ProteinName,GeneName,,
Q91Z63,E3 ubiquitin-protein ligase TRIM63 (EC 2.3.2.27) (Muscle-specific RING finger protein 1) (MuRF-1) (MuRF1) (RING-type E3 ubiquitin transferase TRIM63) (Tripartite motif-containing protein 63),Trim63,,
P12346,Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Liver regeneration-related protein LRRG03) (Siderophilin),Tf,,
Q924P2,Transmembrane protein 14C (p11),Tmem14c,,
Q569C0,Transmembrane protein 100,Tmem100,,
Q4KM93,Transmembrane protein 177,Tmem177,,
Q4KLZ1,Transmembrane protein 186,Tmem186,,
Q5FVF4,Transmembrane 7 superfamily member 3,Tm7sf3,,
P22934,Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a),Tnfrsf1a,,
Q499U8,Transmembrane and coiled-coil domain-containing protein 4,Tmco4,,
Q63199,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),Fas,,
Q01717,Thyrotropin-releasing hormone receptor (TRH-R) (Thyroliberin receptor),Trhr,,
Q5XIH6,Tripartite motif-containing protein 54 (RING finger protein 30),Trim54,,
Q5PQN5,Tripartite motif-containing protein 55 (Muscle-specific RING finger protein 2) (MuRF-2) (MuRF2) (RING finger protein 29),Trim55,,
Q7TNK6,tRNA (guanine(10)-N2)-methyltransferase homolog (EC 2.1.1.-) (tRNA guanosine-2'-O-methyltransferase TRM11 homolog),Trmt11,,
O35119,Short transient receptor potential channel 4 (Trp4) (TrpC4) (Capacitative calcium entry channel 1) (CCE1),Trpc4,,
Q5XFW2,Mitochondrial mRNA pseudouridine synthase Trub2 (EC 5.4.99.-),Trub2,,
Q2EJA0,Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog),Yap1,,
Q6P6S5,Tail-anchored protein insertion receptor WRB (Tryptophan-rich basic protein) (WRB),Wrb,,
O08654,UPF0183 protein C16orf70 homolog,,,
D3ZAQ5,Uncharacterized protein C16orf86 homolog,,,
P33272,Cytochrome P450 2B12 (EC 1.14.14.1) (CYPIIB12),Cyp2b12,,
P12075,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb) (Cytochrome c oxidase subunit VIA*)",Cox5b,,
Q6P7D4,Cytochrome P450 20A1 (EC 1.14.-.-),Cyp20a1,,
P05179,Cytochrome P450 2C7 (EC 1.14.14.1) (CYPIIC7) (Cytochrome P450F) (PTF1),Cyp2c7,,
P33274,Cytochrome P450 4F1 (EC 1.14.14.1) (CYPIVF1) (Cytochrome P450-A3),Cyp4f1,,
P08683,Cytochrome P450 2C11 (EC 1.14.14.1) (CYPIIC11) (Cytochrome P-450(M-1)) (Cytochrome P450-UT-2) (Cytochrome P450-UT-A) (Cytochrome P450H),Cyp2c11,,
P20814,"Cytochrome P450 2C13, male-specific (EC 1.14.14.1) (CYPIIC13) (Cytochrome P-450g) (Cytochrome P450-G) (Cytochrome P450-UT-5)",Cyp2c13,,
P04167,Cytochrome P450 2B2 (EC 1.14.14.1) (CYPIIB2) (Cytochrome P450 PB4) (Cytochrome P450E),Cyp2b2,,
P13107,Cytochrome P450 2B3 (EC 1.14.14.1) (CYPIIB3),Cyp2b3,,
P10633,Cytochrome P450 2D1 (EC 1.14.14.1) (CYPIID1) (Cytochrome P450-CMF1A) (Cytochrome P450-DB1) (Cytochrome P450-UT-7) (Debrisoquine 4-hydroxylase),Cyp2d1,,
Q64537,Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit),Capns1,,
D4A1R8,Copine-1 (Copine I),Cpne1,,
Q66H71,Serine/threonine-protein phosphatase CPPED1 (EC 3.1.3.16) (Calcineurin-like phosphoesterase domain-containing protein 1),Cpped1,,
Q4KM65,Cleavage and polyadenylation specificity factor subunit 5 (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21),Nudt21,,
Q5XI29,Cleavage and polyadenylation specificity factor subunit 7,Cpsf7,,
Q8K4D6,Cytochrome P450 4X1 (EC 1.14.14.1) (CYPIVX1),Cyp4x1,,
Q6GX86,Uncharacterized protein C17orf53 homolog,,,
P0CD95,Uncharacterized protein C17orf67 homolog,,,
Q64654,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),Cyp51a1,,
B1WC88,UPF0729 protein C18orf32 homolog,,,
Q63135,Complement component receptor 1-like protein (Antigen 5I2) (Complement regulatory protein Crry),Cr1l,,
Q91XJ0,Calcium-responsive transcription coactivator (SS18-like protein 1),Ss18l1,,
Q4G063,Cysteine-rich with EGF-like domain protein 2,Creld2,,
P35353,Corticotropin-releasing factor receptor 1 (CRF-R-1) (CRF-R1) (CRFR-1) (Corticotropin-releasing hormone receptor 1) (CRH-R-1) (CRH-R1),Crhr1,,
P10068,Gamma-crystallin F (Gamma-F-crystallin) (Gamma-crystallin 4-1),Crygf,,
P10065,Gamma-crystallin A (Gamma-A-crystallin) (Gamma-crystallin 1-1),Cryga,,
Q8R4S8,Cytokine receptor-like factor 2 (Thymic stromal lymphopoietin protein receptor) (TSLP receptor),Crlf2,,
Q5U2U2,Crk-like protein,Crkl,,
P48199,C-reactive protein,Crp,,
Q32Q86,Cryptochrome-1,Cry1,,
Q6AY72,UPF0449 protein C19orf25 homolog,,,
A0JPQ7,Uncharacterized protein C19orf47 homolog,,,
P0C5E9,Gamma-crystallin S (Beta-crystallin S) (Gamma-S-crystallin),Crygs,,
Q9QYU4,Ketimine reductase mu-crystallin (EC 1.5.1.25) (CDK108) (NADP-regulated thyroid-hormone-binding protein),Crym,,
D4A4D7,Transcription factor E2F7 (E2F-7),E2f7,,
P97834,COP9 signalosome complex subunit 1 (SGN1) (Signalosome subunit 1) (G protein pathway suppressor 1) (GPS-1) (JAB1-containing signalosome subunit 1) (MFH protein),Gps1,,
P61203,COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15),Cops2,,
A1L131,CUE domain-containing protein 2,Cuedc2,,
Q0V8T3,Contactin-associated protein like 5-4 (Cell recognition molecule Caspr5-4) (Cell recognition molecule Caspr5d) (Contactin-associated protein-like 5d),Cntnap5d,,
Q64583,Cytochrome P450 2B15 (EC 1.14.14.1) (CYPIIB15),Cyp2b15,,
Q63688,25-hydroxycholesterol 7-alpha-hydroxylase (EC 1.14.14.29) (Cytochrome P450 7B1) (Hippocampal transcript 1 protein) (HCT-1) (Oxysterol 7-alpha-hydroxylase) (Fragment),Cyp7b1,,
P24470,Cytochrome P450 2C23 (EC 1.14.14.1) (Arachidonic acid epoxygenase) (CYPIIC23),Cyp2c23,,
P0C279,Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (CPEB) (CPEB-1),Cpeb1,,
P63041,Complexin-1 (Complexin I) (CPX I) (Synaphin-2),Cplx1,,
H1UBN0,Copine-7 (Copine VII),Cpne7,,
Q4QR71,Probable serine carboxypeptidase CPVL (EC 3.4.16.-),CPVL,,
P07756,"Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)",Cps1,,
Q5I0I9,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial",Coq10b,,
P32198,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)",Cpt1a,,
Q63768,Adapter molecule crk (Proto-oncogene c-Crk) (p38),Crk,,
D4A7V9,eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein),Eif2ak4,,
Q6AXP1,Uncharacterized protein C19orf44 homolog,,,
O09139,Transcription factor E2F1 (E2F-1) (Fragment),E2f1,,
Q64611,Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Aspartate 1-decarboxylase) (EC 4.1.1.11) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase),Csad,,
P67874,Casein kinase II subunit beta (CK II beta) (Phosvitin),Csnk2b,,
Q5FVG2,Band 4.1-like protein 5,Epb41l5,,
P19139,Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1),Csnk2a1,,
P50463,"Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein)",Csrp3,,
Q8VII2,Cystatin-12 (Cystatin TE-1),Cst12,,
Q8VIH8,Cystatin-14 (Cystatin SC),Cst14,,
Q9JJ46,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein) (Sterol 8-isomerase)",Ebp,,
Q5BK39,Transmembrane protein C16orf54 homolog,,,
P33273,Cytochrome P450 2C55 (EC 1.14.14.1) (CYPIIC24) (CYPIIC55) (Cytochrome P450 2C24) (Cytochrome P450-PROS2),Cyp2c55,,
P20817,Cytochrome P450 4A14 (CYPIVA14) (Cytochrome P450-LA-omega 3) (Lauric acid omega-hydroxylase) (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),Cyp4a14,,
P51869,Cytochrome P450 4F4 (EC 1.14.14.1) (CYPIVF4),Cyp4f4,,
Q9Z1Z1,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase),Eif2ak3,,
P24623,Alpha-crystallin A chain [Cleaved into: Alpha-crystallin A(1-168); Alpha-crystallin A(1-165); Alpha-crystallin A(1-163); Alpha-crystallin A(1-162); Alpha-crystallin A(1-157); Alpha-crystallin A(1-156); Alpha-crystallin A(1-151)],Cryaa,,
P23928,Alpha-crystallin B chain (Alpha(B)-crystallin),Cryab,,
Q923I8,Cryptochrome-2,Cry2,,
Q62814,Transcription factor E2F5 (E2F-5) (Fragment),E2f5,,
F1LMN3,Transcription factor E2F8 (E2F-8),E2f8,,
Q63430,Cold shock domain-containing protein C2 (RNA-binding protein PIPPin),Csdc2,,
Q8JZQ0,Macrophage colony-stimulating factor 1 (CSF-1) (MCSF) [Cleaved into: Processed macrophage colony-stimulating factor 1],Csf1,,
Q9WTP0,Band 4.1-like protein 1 (Neuronal protein 4.1) (4.1N),Epb41l1,,
B2RYE5,Band 4.1-like protein 4B,Epb41l4b,,
Q68FW9,COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3),Cops3,,
Q9ERB4,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M) (Fragments),Vcan,,
Q00657,Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (HSN tumor-specific antigen),Cspg4,,
Q8K5A3,Cystatin-11,Cst11,,
Q4KM45,UPF0687 protein C20orf27 homolog,,,
B4F795,Choline transporter-like protein 2 (Solute carrier family 44 member 2),Slc44a2,,
Q6MG71,Choline transporter-like protein 4 (Solute carrier family 44 member 4) (Thiamine pyrophosphate transporter 1),Slc44a4,,
B1WC58,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),Rbbp8,,
Q6AXX2,Uncharacterized protein C16orf46 homolog,,,
P04799,Cytochrome P450 1A2 (EC 1.14.14.1) (CYPIA2) (Cholesterol 25-hydroxylase) (Cytochrome P-448) (Cytochrome P-450d) (Cytochrome P450-D),Cyp1a2,,
P17178,"Sterol 26-hydroxylase, mitochondrial (EC 1.14.15.15) (5-beta-cholestane-3-alpha,7-alpha,12-alpha-triol 26-hydroxylase) (Cytochrome P-450C27/25) (Cytochrome P450 27) (Sterol 27-hydroxylase) (Vitamin D(3) 25-hydroxylase)",Cyp27a1,,
P05183,Cytochrome P450 3A2 (EC 1.14.14.1) (CYPIIIA2) (Cytochrome P450-PCN2) (Cytochrome P450/6-beta-A) (Testosterone 6-beta-hydroxylase),Cyp3a2,,
P15149,Cytochrome P450 2A2 (EC 1.14.14.1) (CYPIIA2) (Cytochrome P450-UT-4) (Testosterone 15-alpha-hydroxylase),Cyp2a2,,
P11510,"Cytochrome P450 2C12, female-specific (EC 1.14.14.1) (CYPIIC12) (Cytochrome P450 15-beta) (Cytochrome P450-UT-1) (Cytochrome P450-UT-I) (Cytochrome P450I)",Cyp2c12,,
P51871,Cytochrome P450 4F6 (EC 1.14.14.1) (CYPIVF6),Cyp4f6,,
Q64581,Cytochrome P450 3A18 (EC 1.14.14.1) (CYPIIIA18) (Cytochrome P450(6)beta-2),Cyp3a18,,
P00176,Cytochrome P450 2B1 (EC 1.14.14.1) (CYPIIB1) (Cytochrome P450-B) (Cytochrome P450b) (Cytochrome P450-LM2) (Cytochrome P450-PB1) (Cytochrome P450-PB2),Cyp2b1,,
P12938,Cytochrome P450 2D3 (EC 1.14.14.1) (CYPIID3) (Cytochrome P450-DB3) (Debrisoquine 4-hydroxylase),Cyp2d3,,
Q5XID1,Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog),Ciapin1,,
Q64680,Cytochrome P450 2D4 (EC 1.14.14.1) (CYPIID18) (CYPIID4) (Cytochrome P450 2D-29) (Cytochrome P450 2D-35) (Cytochrome P450 2D18) (Cytochrome P450-CMF3) (Cytochrome P450-DB4) (Debrisoquine 4-hydroxylase),Cyp2d4,,
P47866,Corticotropin-releasing factor receptor 2 (CRF-R-2) (CRF-R2) (CRFR-2) (Corticotropin-releasing hormone receptor 2) (CRH-R-2) (CRH-R2),Crhr2,,
P01143,Corticoliberin (Corticotropin-releasing factor) (CRF) (Corticotropin-releasing hormone),Crh,,
P10067,Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 2-2),Crygd,,
P24388,Corticotropin-releasing factor-binding protein (CRF-BP) (CRF-binding protein) (Corticotropin-releasing hormone-binding protein) (CRH-BP),Crhbp,,
Q5XIA0,Zinc finger protein DZIP1L (DAZ-interacting protein 1-like protein),Dzip1l,,
Q792Q4,Cysteine-rich PDZ-binding protein (Cysteine-rich interactor of PDZ three) (Cysteine-rich interactor of PDZ3),Cript,,
P63155,Crooked neck-like protein 1 (Crooked neck homolog) (Crooked neck protein),Crnkl1,,
Q157S1,CREB-regulated transcription coactivator 1 (Mucoepidermoid carcinoma translocated protein 1 homolog) (Transducer of regulated cAMP response element-binding protein 1) (TORC-1) (Transducer of CREB protein 1),Crtc1,,
Q811X5,ELL-associated factor 2 (Testosterone-regulated apoptosis inducer and tumor suppressor protein),Eaf2,,
P55091,Chymotrypsin-C (EC 3.4.21.2) (Caldecrin) (Serum calcium-decreasing factor),Ctrc,,
B5DFM7,Cation channel sperm-associated protein subunit delta (CatSper-delta) (CatSperdelta) (Transmembrane protein 146),Catsperd,,
Q8VII6,Choline transporter-like protein 1 (Solute carrier family 44 member 1) (CD antigen CD92),Slc44a1,,
Q6AYG5,Ethylmalonyl-CoA decarboxylase (EC 4.1.1.94) (Enoyl-CoA hydratase domain-containing protein 1) (Methylmalonyl-CoA decarboxylase) (MMCD) (EC 7.2.4.3),Echdc1,,
P14604,"Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase) (SCEH)",Echs1,,
Q5XIC0,"Enoyl-CoA delta isomerase 2, mitochondrial (EC 5.3.3.8) (Delta(3),delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase) (Peroxisomal 3,2-trans-enoyl-CoA isomerase) (pECI)",Eci2,,
Q62894,Extracellular matrix protein 1 (Secretory component p85),Ecm1,,
Q3KR64,Uncharacterized protein CXorf49 homolog,,,
P80430,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1) (Fragment),Cox6b1,,
P35411,CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Fractalkine receptor) (RBS11),Cx3cr1,,
P10818,"Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver)",Cox6a1,,
P10817,"Cytochrome c oxidase subunit 6A2, mitochondrial (Cytochrome c oxidase polypeptide VIa-heart) (COXVIAH) (Fragment)",Cox6a2,,
P29414,Gap junction alpha-3 protein (Connexin-46) (Cx46),Gja3,,
P28234,Gap junction alpha-5 protein (Connexin-40) (Cx40),Gja5,,
Q9JII9,C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183),Cxcr3,,
Q9R066,Coxsackievirus and adenovirus receptor homolog (CAR) (rCAR),Cxadr,,
P08033,Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein),Gjb1,,
Q80XF7,Gap junction gamma-2 protein (Connexin-47) (Cx47) (Gap junction alpha-12 protein),Gjc2,,
O70610,Gap junction delta-2 protein (Connexin-36) (Cx36) (Gap junction alpha-9 protein),Gjd2,,
Q5XIQ3,CXXC-type zinc finger protein 5,Cxxc5,,
P30348,C-X-C motif chemokine 2 (Cytokine-induced neutrophil chemoattractant 3) (CINC-3) (Macrophage inflammatory protein 2) (MIP2),Cxcl2,,
Q3ZAV8,Enhancer of mRNA-decapping protein 4,Edc4,,
P13207,Endothelin-3 (ET-3) (Preproendothelin-3) (PPET3),Edn3,,
Q66HC0,EF-hand calcium-binding domain-containing protein 3,Efcab3,,
P05503,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I),Mtco1,,
Q8CIY2,Dual oxidase 1 (EC 1.11.1.-) (EC 1.6.3.1),Duox1,,
Q7TNN2,"Cytochrome c oxidase subunit 8C, mitochondrial (Cytochrome c oxidase polypeptide 8 isoform 3) (Cytochrome c oxidase polypeptide VIII isoform 3) (COX VIII-3) (Cytochrome c oxidase subunit 8-3)",Cox8c,,
Q64678,Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Cytochrome P450RAP),Cyp1b1,,
O35293,Cytochrome P450 2F2 (EC 1.14.14.-) (CYPIIF2) (Cytochrome P450-NAH-2) (Naphthalene dehydrogenase) (Naphthalene hydroxylase),Cyp2f2,,
P11711,Cytochrome P450 2A1 (EC 1.14.14.1) (CYPIIA1) (Cytochrome P450-UT-F) (Steroid hormones 7-alpha-hydroxylase) (Testosterone 7-alpha-hydroxylase),Cyp2a1,,
Q3MID2,Leukotriene-B(4) omega-hydroxylase 2 (EC 1.14.14.94) (CYPIVF3) (Cytochrome P450 4F3) (Cytochrome P450-LTB-omega) (Leukotriene-B(4) 20-monooxygenase 2),Cyp4f3,,
P02667,Alpha-S2-casein-like A (Casein alpha S2-like A) (Gamma-casein),Csn1s2a,,
P42893,Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71),Ece1,,
B2RYL1,Chromosome transmission fidelity protein 8 homolog isoform 2,Chtf8,,
Q07803,"Elongation factor G, mitochondrial (EF-Gmt) (Elongation factor G 1, mitochondrial) (mEF-G 1) (Elongation factor G1)",Gfm1,,
P41237,Cortexin-1,Ctxn1,,
Q6AXP6,Cation channel sperm-associated protein 2 (CatSper2),Catsper2,,
Q9R1E9,Connective tissue growth factor (CCN family member 2) (Connective tissue growth-related protein),Ctgf,,
B5DF89,Cullin-3,Cul3,,
P53565,Homeobox protein cut-like 1 (CCAAT displacement protein) (CDP) (CDP2) (Homeobox protein cux-1),Cux1,,
Q3MIE0,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Echdc3,,
Q5BJP2,Spliceosome-associated protein CWC15 homolog,Cwc15,,
P23965,"Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)",Eci1,,
Q5XIB2,Spliceosome-associated protein CWC27 homolog (Probable inactive peptidyl-prolyl cis-trans isomerase CWC27 homolog) (PPIase CWC27),Cwc27,,
P11951,Cytochrome c oxidase subunit 6C-2 (Cytochrome c oxidase polypeptide VIc-2),Cox6c2,,
P48973,C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Interferon-inducible protein 10) (Protein Mob-1) (Small-inducible cytokine B10),Cxcl10,,
Q9EQC9,CXXC-type zinc finger protein 4 (Inhibition of the Dvl and axin complex protein),Cxxc4,,
Q6AXU5,C-X-C motif chemokine 16 (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16),Cxcl16,,
Q62737,Cytochrome b-245 light chain (Cytochrome b(558) alpha chain) (Cytochrome b558 subunit alpha) (Neutrophil cytochrome b 22 kDa polypeptide) (Superoxide-generating NADPH oxidase light chain subunit) (p22 phagocyte B-cytochrome) (p22-phox) (p22phox),Cyba,,
P22388,Endothelin-1 (ET-1) (Preproendothelin-1) (PPET1) [Cleaved into: Big endothelin-1],Edn1,,
Q6AYA6,Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros),Cybc1,,
O08812,Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3),Slc7a3,,
Q9QZT0,CUB and zona pellucida-like domain-containing protein 1 (CUB and ZP domain-containing protein 1) (Estrogen-regulated protein 1) (Uterus/ovary-specific protein 44),Cuzd1,,
P35407,C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (CD antigen CD182),Cxcr2,,
P21994,Gap junction beta-2 protein (Connexin-26) (Cx26),Gjb2,,
P70709,Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Eosinophil secondary granule ribonuclease 11) (EAR-11) (Ribonuclease 3) (RNase 3),Rnase3,,
O08565,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (Fusin) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),Cxcr4,,
A4GG66,Gap junction gamma-1 protein (Connexin-45) (Cx45) (Gap junction alpha-7 protein),Gjc1,,
P34997,C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1 homolog) (Neurolymphatic receptor) (NLR) (CD antigen CD185),Cxcr5,,
Q10746,C-X-C motif chemokine 3 (Cytokine-induced neutrophil chemoattractant 2) (CINC-2) (Macrophage inflammatory protein 2-alpha/beta) (MIP2-alpha/beta),Cxcl3,,
P70612,C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (High affinity interleukin-8 receptor A) (IL-8R A) (CD antigen CD181),Cxcr1,,
P69736,Endothelial differentiation-related factor 1 (EDF-1) (Calmodulin-associated peptide 19) (CAP-19) (Multiprotein-bridging factor 1) (MBF1),Edf1,,
Q6AYH4,Cell cycle regulator of non-homologous end joining (Cell cycle regulator of NHEJ) (Modulator of retrovirus infection homolog),Cyren,,
Q0V8T6,Contactin-associated protein like 5-1 (Cell recognition molecule Caspr5-1) (Cell recognition molecule Caspr5a) (Contactin-associated protein-like 5a),Cntnap5a,,
Q0V8T4,Contactin-associated protein like 5-3 (Cell recognition molecule Caspr5-3) (Cell recognition molecule Caspr5c) (Contactin-associated protein-like 5c),Cntnap5c,,
P30823,High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor) (Ecotropic retrovirus receptor) (EcoR) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter),Slc7a1,,
Q62651,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",Ech1,,
Q9JJ31,Cullin-5 (CUL-5) (Vasopressin-activated calcium-mobilizing receptor 1) (VACM-1),Cul5,,
D3ZEF4,Cullin-7 (CUL-7),Cul7,,
Q60587,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]",Hadhb,,
P07896,"Peroxisomal bifunctional enzyme (PBE) (PBFE) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]",Ehhadh,,
Q6YFQ1,"Cytochrome c oxidase subunit 6B2 (Cytochrome c oxidase subunit VIb isoform 2) (COX VIb-2) (Cytochrome c oxidase subunit VIb, testis-specific isoform)",Cox6b2,,
P11950,Cytochrome c oxidase subunit 6C-1 (Cytochrome c oxidase polypeptide VIc-1),Cox6c1,,
P35171,"Cytochrome c oxidase subunit 7A2, mitochondrial (Cytochrome c oxidase subunit VIIa-liver/heart) (Cytochrome c oxidase subunit VIIa-L)",Cox7a2,,
P08050,Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein),Gja1,,
Q03190,Gap junction alpha-4 protein (Connexin-37) (Cx37),Gja4,,
P28233,Gap junction alpha-6 protein (Connexin-33) (Cx33),Gja6,,
Q8K4Q9,Gap junction alpha-8 protein (Connexin-50) (Cx50),Gja8,,
P25305,Gap junction beta-3 protein (Connexin-31) (Cx31),Gjb3,,
P36380,Gap junction beta-4 protein (Connexin-30.3) (Cx30.3),Gjb4,,
P28232,Gap junction beta-5 protein (Connexin-31.1) (Cx31.1),Gjb5,,
Q5U2W7,Cytochrome b ascorbate-dependent protein 3 (EC 1.-.-.-) (Cytochrome b561 family member A3),Cyb561a3,,
O08590,Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (Semicarbazide-sensitive amine oxidase) (SSAO) (VP97) (Vascular adhesion protein 1) (VAP-1),Aoc3,,
P19643,Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B),Maob,,
Q32Q90,"Apoptogenic protein 1, mitochondrial (APOP-1)",Apopt1,,
Q9WTY0,Aquaporin-6 (AQP-6),Aqp6,,
Q6AXT3,ADP-ribosylation factor-like protein 13A,Arl13a,,
Q4V8C5,ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (Binder of ARF2 protein 1),Arl2bp,,
O08701,"Arginase-2, mitochondrial (EC 3.5.3.1) (Arginase II) (Kidney-type arginase) (Non-hepatic arginase) (Type II arginase)",Arg2,,
P54690,"Branched-chain-amino-acid aminotransferase, cytosolic (BCAT(c)) (EC 2.6.1.42)",Bcat1,,
P29147,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial (EC 1.1.1.30) (3-hydroxybutyrate dehydrogenase) (BDH)",Bdh1,,
Q62896,BET1 homolog (rBET1) (Golgi vesicular membrane-trafficking protein p18),Bet1,,
Q3MKQ2,Protein BEX1 (Brain-expressed X-linked protein 1 homolog) (EG2RVC),Bex1,,
