"noiso"	"SPC"	"geneName"	"Transmembrane"	"CC"	"CD"	"CSPA..e"	"HLA"
"Q99MY2"	0	"Nudt4 Dipp2"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9NZJ9}."	NA	NA	NA
"Q63374"	0	"Nrxn2"	"TRANSMEM 1640 1660 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	NA	NA
"Q63504"	0	"Nr1d2"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407}. Cytoplasm {ECO:0000250|UniProtKB:Q60674}. Note=Phosphorylation by CSNK1E enhances its cytoplasmic localization. {ECO:0000250|UniProtKB:Q60674}."	NA	NA	NA
"P21263"	0	"Nes"	""	""	NA	NA	NA
"P12839"	0	"Nefm Nef3 Nfm"	""	""	NA	NA	NA
"Q9JLD2"	0	"Serpini1 Pi12 Spi17"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10642518}. Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000250|UniProtKB:Q99574}. Perikaryon {ECO:0000250|UniProtKB:Q99574}."	NA	NA	NA
"Q924Z9"	0	"Ntn1"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O95631}. Cytoplasm {ECO:0000250|UniProtKB:O95631}. Note=Mainly secreted. {ECO:0000250|UniProtKB:O95631}."	NA	NA	NA
"P55006"	0	"Rdh7 Rdh3"	""	"SUBCELLULAR LOCATION: Microsome. Endoplasmic reticulum {ECO:0000305}."	NA	NA	NA
"Q3SWS8"	0	"Rae1 Mrnp41"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P78406}. Nucleus {ECO:0000250|UniProtKB:P78406}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:P78406}. Note=Recruited from interphase nuclei to spindle MTs during mitosis. {ECO:0000250|UniProtKB:P78406}."	NA	NA	NA
"Q62901"	0	"Rere Arp"	""	"SUBCELLULAR LOCATION: Nucleus, PML body {ECO:0000250}. Note=Localized in nuclear bodies of variable size. Colocalized with PML and BAX in nuclear PODs (By similarity). {ECO:0000250}."	NA	NA	NA
"Q7TNN9"	3	"Rhcg"	"TRANSMEM 10 30 Helical. {ECO:0000255}.; TRANSMEM 62 82 Helical. {ECO:0000255}.; TRANSMEM 94 114 Helical. {ECO:0000255}.; TRANSMEM 126 145 Helical. {ECO:0000255}.; TRANSMEM 152 174 Helical. {ECO:0000255}.; TRANSMEM 180 200 Helical. {ECO:0000255}.; TRANSMEM 220 240 Helical. {ECO:0000255}.; TRANSMEM 252 272 Helical. {ECO:0000255}.; TRANSMEM 283 303 Helical. {ECO:0000255}.; TRANSMEM 305 325 Helical. {ECO:0000255}.; TRANSMEM 341 361 Helical. {ECO:0000255}.; TRANSMEM 396 416 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12138130, ECO:0000269|PubMed:12595489, ECO:0000269|PubMed:16434569}; Multi-pass membrane protein {ECO:0000269|PubMed:12138130, ECO:0000269|PubMed:12595489, ECO:0000269|PubMed:16434569}. Note=Also detected at the basolateral membrane and in subapical vesicles. Chronic acidosis induces relocalization to the apical cell membrane."	NA	NA	NA
"P35284"	0	"Rab12"	""	"SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000250|UniProtKB:P35283}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000250|UniProtKB:P35283}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P51152}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:P35283}."	NA	NA	NA
"P61928"	0	"Rpl37"	""	""	NA	NA	NA
"Q6REY9"	0	"Arhgap20"	""	""	NA	NA	NA
"Q9R1U9"	1	"Rfng"	"TRANSMEM 7 29 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}."	NA	NA	NA
"P61227"	0	"Rap2b"	""	"SUBCELLULAR LOCATION: Recycling endosome membrane; Lipid-anchor; Cytoplasmic side. Note=Associated with red blood cells-released vesicles. {ECO:0000250}."	NA	NA	NA
"Q6AYT0"	0	"Cryz"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"Q9WTY2"	0	"Rem2"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10727423}."	NA	NA	NA
"P97844"	0	"Rgs1"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q08116}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q08116}; Cytoplasmic side {ECO:0000250|UniProtKB:Q08116}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q08116}."	NA	NA	NA
"P83858"	3	"Qrfpr Gpr103"	"TRANSMEM 47 67 Helical; Name=1. {ECO:0000255}.; TRANSMEM 82 102 Helical; Name=2. {ECO:0000255}.; TRANSMEM 121 141 Helical; Name=3. {ECO:0000255}.; TRANSMEM 163 183 Helical; Name=4. {ECO:0000255}.; TRANSMEM 213 233 Helical; Name=5. {ECO:0000255}.; TRANSMEM 272 292 Helical; Name=6. {ECO:0000255}.; TRANSMEM 314 334 Helical; Name=7. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein."	NA	NA	NA
"Q8CH27"	0	"Rcan2 Dscr1l1 Zaki4"	""	""	NA	NA	NA
"P0C2C0"	0	"Mrpl22"	""	"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:9857009}."	NA	NA	NA
"Q4V7F5"	0	"Pih1d1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9CQJ2}."	NA	NA	NA
"Q07310"	0	"Nrxn3"	"TRANSMEM 1504 1524 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Secreted. Note=Some isoforms seems to be secreted."	NA	NA	NA
"O54902"	3	"Slc11a2 Dct1 Dmt1 Nramp2"	"TRANSMEM 70 90 Helical. {ECO:0000255}.; TRANSMEM 96 117 Helical. {ECO:0000255}.; TRANSMEM 155 175 Helical. {ECO:0000255}.; TRANSMEM 180 194 Helical. {ECO:0000255}.; TRANSMEM 209 229 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 302 322 Helical. {ECO:0000255}.; TRANSMEM 361 381 Helical. {ECO:0000255}.; TRANSMEM 409 429 Helical. {ECO:0000255}.; TRANSMEM 441 461 Helical. {ECO:0000255}.; TRANSMEM 483 503 Helical. {ECO:0000255}.; TRANSMEM 507 527 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Endosome membrane {ECO:0000250|UniProtKB:P49281}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P49281}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:P49281}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P49281}. Cell membrane {ECO:0000250|UniProtKB:P49281}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P49281}. Note=Also found in extracellular vesicles different from exosomes. {ECO:0000250|UniProtKB:P49281}."	NA	NA	NA
"Q66HE2"	2	"Slc16a13 Mct13"	"TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 52 72 Helical. {ECO:0000255}.; TRANSMEM 81 101 Helical. {ECO:0000255}.; TRANSMEM 106 126 Helical. {ECO:0000255}.; TRANSMEM 139 159 Helical. {ECO:0000255}.; TRANSMEM 172 192 Helical. {ECO:0000255}.; TRANSMEM 221 241 Helical. {ECO:0000255}.; TRANSMEM 244 264 Helical. {ECO:0000255}.; TRANSMEM 283 303 Helical. {ECO:0000255}.; TRANSMEM 309 329 Helical. {ECO:0000255}.; TRANSMEM 338 358 Helical. {ECO:0000255}.; TRANSMEM 374 394 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q7RTY0}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7RTY0}. Cell membrane {ECO:0000255}; Multi-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q9Z2L9"	0	"Ndrg4 Bdm1 Ndr4"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}."	NA	NA	NA
"O88761"	0	"Psmd1"	""	""	NA	NA	NA
"P35896"	0	"Olr1174"	"TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 58 78 Helical; Name=2. {ECO:0000255}.; TRANSMEM 107 127 Helical; Name=3. {ECO:0000255}.; TRANSMEM 143 163 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 217 Helical; Name=5. {ECO:0000255}.; TRANSMEM 245 265 Helical; Name=6. {ECO:0000255}.; TRANSMEM 271 291 Helical; Name=7. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein."	NA	NA	NA
"Q568Y7"	0	"Olfm2"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O95897}. Cell junction, synapse {ECO:0000305|PubMed:22632720}. Membrane {ECO:0000250|UniProtKB:Q8BM13}. Nucleus {ECO:0000250|UniProtKB:O95897}. Cytoplasm {ECO:0000250|UniProtKB:O95897}. Note=Nuclear localization is induced by TGF-beta. {ECO:0000250|UniProtKB:O95897}."	NA	NA	NA
"Q64627"	0	"Neu2"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"Q9R1A7"	0	"Nr1i2 Pxr"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00407}."	NA	NA	NA
"P17955"	0	"Nup62"	""	"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:8707840}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:P37198}. Nucleus envelope {ECO:0000269|PubMed:2190987}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P37198}. Note=Central region of the nuclear pore, within the transporter. During mitotic cell division, it associates with the poles of the mitotic spindle. {ECO:0000250|UniProtKB:P37198}."	NA	NA	NA
"P22355"	0	"Sftpb Sftp3"	""	"SUBCELLULAR LOCATION: Secreted, extracellular space, surface film."	NA	NA	NA
"Q6URK4"	0	"Hnrnpa3 Hnrpa3"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Component of ribonucleosomes. {ECO:0000250}."	NA	NA	NA
"P81718"	0	"Ptpn6 Ptph6"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17068200}. Nucleus {ECO:0000269|PubMed:17068200}. Note=In neurons, translocates into the nucleus after treatment with angiotensin II. Shuttles between the cytoplasm and nucleus via its association with PDPK (By similarity). {ECO:0000250}."	NA	NA	NA
"Q5M9I5"	0	"Uqcrh"	""	"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00127}."	NA	NA	NA
"P18890"	0	"Arhgap39"	""	""	NA	NA	NA
"O35509"	0	"Rab11b"	""	"SUBCELLULAR LOCATION: Recycling endosome membrane {ECO:0000250|UniProtKB:P46638}; Lipid-anchor {ECO:0000250|UniProtKB:P46638}; Cytoplasmic side {ECO:0000250|UniProtKB:P46638}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000305|PubMed:14627637}; Lipid-anchor {ECO:0000305|PubMed:14627637}; Cytoplasmic side {ECO:0000305|PubMed:14627637}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:Q15907}; Lipid-anchor {ECO:0000250|UniProtKB:Q15907}; Cytoplasmic side {ECO:0000250|UniProtKB:Q15907}. Note=Recruited to phagosomes containing S.aureus. {ECO:0000250|UniProtKB:Q15907}."	NA	NA	NA
"B0BNE2"	0	"Polr2e"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}."	NA	NA	NA
"P49445"	0	"Ptpn7 Lcptp"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:20157115}."	NA	NA	NA
"P50170"	1	"Rdh16 Rdh2 Rodh1 Rodhii"	"TRANSMEM 289 308 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:11601977}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11601977}; Single-pass membrane protein {ECO:0000255}."	NA	NA	NA
"D4ABM4"	0	"Rfpl4a Rfpl4"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8VH31}. Nucleus {ECO:0000250|UniProtKB:Q8VH31}."	NA	NA	NA
"P62986"	0	"Uba52 Ubcep2"	""	"SUBCELLULAR LOCATION: Ubiquitin: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.; SUBCELLULAR LOCATION: 60S ribosomal protein L40: Cytoplasm {ECO:0000250}."	NA	NA	NA
"Q4G2Y1"	0	"Rpain Rip"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}."	NA	NA	NA
"Q80W87"	1	"Robo4"	""	""	NA	NA	NA
"Q8BFS3"	0	"Rln3 Insl7"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"P10499"	2	"Kcna1"	"TRANSMEM 165 186 Helical; Name=Segment S1. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 221 242 Helical; Name=Segment S2. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 254 274 Helical; Name=Segment S3. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 288 308 Helical; Voltage-sensor; Name=Segment S4. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 324 345 Helical; Name=Segment S5. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 387 415 Helical; Name=Segment S6. {ECO:0000250|UniProtKB:P63142}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12114518, ECO:0000269|PubMed:12681381, ECO:0000269|PubMed:17855588, ECO:0000269|PubMed:22206926, ECO:0000269|PubMed:2348860, ECO:0000269|PubMed:23725331, ECO:0000269|PubMed:2539643, ECO:0000269|PubMed:8038169}; Multi-pass membrane protein {ECO:0000305}. Membrane {ECO:0000269|PubMed:11086297, ECO:0000269|PubMed:9334400}. Cell projection, Neuron projection, axon {ECO:0000269|PubMed:11086297, ECO:0000269|PubMed:12177193, ECO:0000269|PubMed:9334400}. Cytoplasmic vesicle {ECO:0000269|PubMed:12177193, ECO:0000269|PubMed:8038169}. Perikaryon {ECO:0000269|PubMed:12177193}. Endoplasmic reticulum {ECO:0000269|PubMed:10896669, ECO:0000269|PubMed:12681381}. Cell projection, Neuron projection, dendrite {ECO:0000250|UniProtKB:P16388}. Cell junction {ECO:0000250|UniProtKB:P16388}. Cell junction, synapse {ECO:0000250|UniProtKB:P16388}. Cell junction, synapse, Presynapse {ECO:0000250|UniProtKB:P16388}. Cell junction, synapse, Presynapse, presynaptic cell membrane {ECO:0000269|PubMed:17869444}. Note=Homotetrameric KCNA1 is primarily located in the endoplasmic reticulum. Interaction with KCNA2 and KCNAB2 or with KCNA4 and KCNAB2 promotes expression at the cell membrane (PubMed:10896669). {ECO:0000250|UniProtKB:P16388, ECO:0000269|PubMed:10896669}."	NA	NA	NA
"P00770"	0	"Mcpt2"	""	""	NA	NA	NA
"Q6AYK3"	0	"Isyna1 Ino1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"Q7TN41"	3	"Mrgprd Mrgd"	"TRANSMEM 31 51 Helical; Name=1. {ECO:0000255}.; TRANSMEM 65 85 Helical; Name=2. {ECO:0000255}.; TRANSMEM 93 113 Helical; Name=3. {ECO:0000255}.; TRANSMEM 145 165 Helical; Name=4. {ECO:0000255}.; TRANSMEM 185 205 Helical; Name=5. {ECO:0000255}.; TRANSMEM 221 241 Helical; Name=6. {ECO:0000255}.; TRANSMEM 261 281 Helical; Name=7. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein."	NA	NA	NA
"O55035"	0	"Ppig"	""	"SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:9525923}. Nucleus speckle {ECO:0000269|PubMed:9525923}. Note=Colocalizes with splicing factors at nuclear speckles. {ECO:0000269|PubMed:9525923}."	NA	NA	NA
"G3V801"	0	"Prss12"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"O88628"	3	"Or51e2 Olr59 Psgr"	"TRANSMEM 25 45 Helical; Name=1. {ECO:0000255}.; TRANSMEM 54 74 Helical; Name=2. {ECO:0000255}.; TRANSMEM 99 119 Helical; Name=3. {ECO:0000255}.; TRANSMEM 139 159 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 216 Helical; Name=5. {ECO:0000255}.; TRANSMEM 237 257 Helical; Name=6. {ECO:0000255}.; TRANSMEM 273 293 Helical; Name=7. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9H255}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000250|UniProtKB:Q9H255}; Multi-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q6IMZ0"	0	"Nfil3"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978}."	NA	NA	NA
"P83860"	0	"Qrfp P518"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"Q566C7"	0	"Nudt3 Dipp Dipp1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}."	NA	NA	NA
"A0A0G2K6Z9"	0	"Odaph"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q17RF5}."	NA	NA	NA
"P97947"	0	"Nr0b2 Shp"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q15466}. Nucleus {ECO:0000305}. Note=Colocalizes with NEUROD1 in the nucleus. {ECO:0000250|UniProtKB:Q15466}."	NA	NA	NA
"Q04970"	0	"Nras"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P01111}; Lipid-anchor {ECO:0000250|UniProtKB:P01111}; Cytoplasmic side {ECO:0000250|UniProtKB:P01111}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P01111}; Lipid-anchor {ECO:0000250|UniProtKB:P01111}. Note=Shuttles between the plasma membrane and the Golgi apparatus. {ECO:0000250|UniProtKB:P01111}."	NA	NA	NA
"Q64612"	0	"Ptprv Esp"	"TRANSMEM 1075 1095 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	NA	NA
"P62278"	0	"Rps13"	""	""	NA	NA	NA
"Q80ZG1"	0	"Ric8a"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21158412}. Cell membrane {ECO:0000269|PubMed:21158412}. Note=Colocalizes with RIC8A in CA2 hippocampal neurons (By similarity). Colocalizes with GNAI1 and RGS14 at the plasma membrane. {ECO:0000250}."	NA	NA	NA
"Q6NYB7"	0	"Rab1A Rab1"	""	"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000250|UniProtKB:P62820}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P62820}. Early endosome {ECO:0000269|PubMed:21303926}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P62820}. Membrane {ECO:0000250|UniProtKB:P62820}. Melanosome {ECO:0000250|UniProtKB:P62821}. Note=Alternates between membrane-associated and cytosolic forms. {ECO:0000250|UniProtKB:P62820}."	NA	NA	NA
"A1A5R1"	0	"Rbfox2 Fox2 Rbm9"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}."	NA	NA	NA
"P04646"	0	"Rpl35a"	""	""	NA	NA	NA
"P62893"	0	"Rpl39"	""	""	NA	NA	NA
"P28818"	0	"Rasgrf1"	""	""	NA	NA	NA
"P51593"	0	"Huwe1 Ureb1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7TMY8}. Nucleus {ECO:0000250|UniProtKB:Q7TMY8}. Note=Mainly expressed in the cytoplasm of most tissues, except in the nucleus of spermatogonia, primary spermatocytes and neuronal cells. {ECO:0000250|UniProtKB:Q7TMY8}."	NA	NA	NA
"Q5XIS8"	0	"Mief1 Mid51 Smcr7l"	"TRANSMEM 24 46 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}."	NA	NA	NA
"A1L1K8"	0	"Habp4"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15862299}. Cytoplasm {ECO:0000269|PubMed:15862299}. Cytoplasm, Stress granule {ECO:0000250|UniProtKB:Q5JVS0}. Cytoplasm, sarcoplasm {ECO:0000269|PubMed:15862299}. Nucleus, Nuclear body {ECO:0000250|UniProtKB:Q5JVS0}. Nucleus, nucleolus {ECO:0000250|UniProtKB:Q5JVS0}. Nucleus speckle {ECO:0000250|UniProtKB:Q5JVS0}. Nucleus, Cajal body {ECO:0000250|UniProtKB:Q5JVS0}. Nucleus, gem {ECO:0000250|UniProtKB:Q5JVS0}. Note=Transported into the nuclear compartment in activated leukocytes. Inhibition of methylation alters its distribution between the nuclear and cytoplasmic compartments. Methylation may be required for its localization in subnuclear structures, such as nucleoli, nuclear speckles, Cajal bodies and Gemini of coiled bodies (gems). Colocalizes with FMR1, FXR1 and FXR2 in cytoplasmic stress granules (By similarity). In myocardial cells, localization at the sarcoplasm is reduced in response to mechanical stress (PubMed:15862299). {ECO:0000250|UniProtKB:Q5JVS0, ECO:0000269|PubMed:15862299}."	NA	NA	NA
"Q792I0"	0	"Lin7c Mals3 Veli3"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15494546}; Peripheral membrane protein {ECO:0000269|PubMed:15494546}. Basolateral cell membrane {ECO:0000269|PubMed:15494546}; Peripheral membrane protein {ECO:0000269|PubMed:15494546}. Cell junction {ECO:0000250}. Cell junction, synapse, Postsynapse, postsynaptic density, Postsynaptic density membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell junction, tight junction {ECO:0000250}. Note=Mainly basolateral in renal epithelial cells. {ECO:0000250}."	NA	NA	NA
"P54316"	0	"Pnliprp1 Plrp1"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000305}."	NA	NA	NA
"Q6AYM7"	0	"Majin"	"TRANSMEM 228 246 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q9D992}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9D992}. Chromosome, telomere {ECO:0000250|UniProtKB:Q9D992}. Note=In leptotene spermatocytes, localizes to telomeres that localize to the nucleus inner membrane. {ECO:0000250|UniProtKB:Q9D992}."	NA	NA	NA
"O35162"	0	"Hspa13 Stch"	""	"SUBCELLULAR LOCATION: Microsome {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}."	NA	NA	NA
"Q5CZZ9"	0	"Pip5k1b Pip5k1a"	""	"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}. Note=Associated with membranes. {ECO:0000250}."	NA	NA	NA
"O54968"	0	"Nfe2l2 Nrf2"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q60795}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:16314513}. Note=Cytosolic under unstressed conditions: ubiquitinated and degraded by the BCR(KEAP1) E3 ubiquitin ligase complex. Translocates into the nucleus upon induction by electrophilic agents that inactivate the BCR(KEAP1) E3 ubiquitin ligase complex. {ECO:0000250|UniProtKB:Q60795}."	NA	NA	NA
"P69209"	0	""	""	""	NA	NA	NA
"Q3KR66"	0	"Psrc1 Dda3"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Note=Detected at the mitotic spindle and spindle poles. Diffusely distributed throughout the cell during interphase (By similarity). {ECO:0000250}."	NA	NA	NA
"Q63376"	0	"Nrxn2"	"TRANSMEM 587 607 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	NA	NA
"Q99NH3"	0	"Rab3il1 Grab"	""	""	NA	NA	NA
"P50878"	0	"Rpl4 Rpl1"	""	""	NA	NA	NA
"Q9Z2P5"	0	"Ripk3 Rip3"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Cell membrane {ECO:0000250}. Mitochondrion {ECO:0000305}."	NA	NA	NA
"P61354"	0	"Rpl27"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P61353}. Cytoplasm {ECO:0000250|UniProtKB:P61353}. Rough endoplasmic reticulum {ECO:0000250|UniProtKB:A1XQU5}. Note=Detected on cytosolic polysomes (By similarity). Detected in ribosomes that are associated with the rough endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:A1XQU5, ECO:0000250|UniProtKB:P61353}."	NA	NA	NA
"P47709"	0	"Rph3a"	""	"SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000269|PubMed:8060298, ECO:0000269|PubMed:8617225}. Cell projection, Neuron projection, dendritic spine {ECO:0000269|PubMed:26679993}. Cell junction, synapse, Postsynapse, postsynaptic cell membrane {ECO:0000269|PubMed:26679993}. Membrane {ECO:0000269|PubMed:17166855}; Peripheral membrane protein {ECO:0000269|PubMed:17166855}."	NA	NA	NA
"Q4V7E5"	0	"Mtrf1l"	""	"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}."	NA	NA	NA
"Q66HG0"	0	"Rnf13"	"TRANSMEM 183 203 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O43567}. Golgi apparatus membrane {ECO:0000250}. Late endosome membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Lysosome membrane {ECO:0000250}. Nucleus inner membrane {ECO:0000250}. Note=Under certain conditions, relocalizes to recycling endosomes and to the inner nuclear membrane. {ECO:0000250}."	NA	NA	NA
"B1PRL5"	0	"Cavin4 Murc"	""	"SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere {ECO:0000250|UniProtKB:A2AMM0}. Cytoplasm {ECO:0000250|UniProtKB:A2AMM0}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:A2AMM0}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:A2AMM0}. Membrane, caveola {ECO:0000269|PubMed:24567387}. Cell membrane {ECO:0000250|UniProtKB:A2AMM0}. Note=In cardiomyocytes, accumulates in the Z-line of the sarcomere. In vascular smooth muscle cells, detected diffusely throughout the cytoplasm. Localizes in the caveolae in a caveolin-dependent manner. {ECO:0000250|UniProtKB:A2AMM0}."	NA	NA	NA
"Q5BK18"	0	"Ciao3 Narfl"	""	""	NA	NA	NA
"Q9R1T3"	0	"Ctsz Ctsy"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
